SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
PDL6DZQF,Design basics,Books,"Lauer, David A.",0-03-030422-9,,1990,"Holt, Rinehart, and Winston",,GENERAL APPRECIATION/CRITICISM,Ft. Worth,Design,,3rd ed,1990,,,274,
Q7IACU45,David Hockney,Books,"Livingstone, Marco",0-03-059859-1,,1981,"Holt, Rinehart, and Winston",,ARTIST - H,New York,"Hockney, David",,1st American ed,1981,,,251,
6JKCSNNR,Modern perspectives in Western art history: an anthology of 20th-century writings on the visual arts,Books,"Kleinbauer, W. Eugene",0-03-078220-1,,1971,"Holt, Rinehart and Winston",,GENERAL APPRECIATION/CRITICISM,New York,Art,,,1971,,,528,
WER54UFR,"Art, music & ideas",Books,"Fleming, William",0-03-082865-1,,1970,"Holt, Rinehart and Winston",,GENERAL HISTORY,New York,History; Arts,,,1970,,,366,
Q8YCGJRL,The age of Rembrandt and Vermeer: Dutch painting in the seventeenth century,Books,"Nash, J. M.",0-03-091870-7,,1972,"Holt, Rinehart, and Winston",,BAROQUE,New York,"Rembrandt Harmenszoon van Rijn; 17th century; Painting, Dutch; Vermeer, Johannes",,,1972,,,271,
PW9JN6Q2,Mary Cassatt,Books,"Pollock, Griselda",0-06-013348-1,,1980,Harper & Row,,ARTIST-C,New York,0,,1st U.S. ed,1980,,,119,
IDEUV746,The meanings of modern art,Books,"Russell, John",0-06-013701-0,,1981,Museum of Modern Art : Harper & Row,,MODERN,New York,"19th century; 20th century; Art, Modern",,Rev. and updated ed.,1981,,,429,
5IXXFJSP,Artforms: An Introduction to the Visual Arts,Books,"Preble, Duane and Sarah",0-06-045211-0,,1989,Harper & Row,,GENERAL APPRECIATION/CRITICISM,,0,,,1989,,,,
SLYXQI8C,"Mistress of the Elgin Marbles: a biography of Mary Nisbet, Countess of Elgin",Books,"Nagel, Susan",0-06-054554-2,,2004,William Morrow,,GENERAL HISTORY,New York,"Biography; Great Britain; Elgin marbles; Diplomats' spouses; Elgin, Thomas Bruce; Ferguson, Mary Nisbet; Marriage",,1st ed,2004,,,294,
PU5WLJB7,Ancient Egyptian Religion: An Interpretation,Books,"Frankfort, H.",0-06-130077-2,,1948,Columbia University Press,,ANCIENT,,0,,,1948,,,,
JW22BEHE,A View of Greek Art,Books,"Holloway, R. Ross",0-06-430046-3,,1974,Harper & Row,,ANCIENT,,0,,,1974,,,,
X52FRZ7H,The Renaissance Rediscovery of Linear Perspective,Books,Edgerton,0-06-430069-2,,1975,Harper & Row,,RENAISSANCE - BAROQUE,,0,,,1975,,,,
CV79BYA8,Images of American Living: Four Centuries of Architecture and Furniture as Cultural Expression,Books,"Gowans, Alan",0-06-430072-2,,1976,Harper & Row,,DECORATIVE ARTS,,0,,,1976,,,,
PLHU46WZ,Milton Avery,Books,"Haskell, Barbara; Avery, Milton; Whitney Museum of American Art",0-06-430121-4,,1982,Whitney Museum of American Art in Association with Harper & Row,,ARTIST-A,New York,"Avery, Milton; Biography; Painters; United States",,1st ed,1982,,,223,
2DRPHG37,"The pluralist era: American art, 1968-1981",Books,"Robins, Corinne",0-06-430137-0,,1984,Harper & Row,,AMERICAN,New York,"20th century; Art, American",Icon editions,1st ed,1984,,,246,
6AP4J5YT,"Understanding architecture: its elements, history, and meaning",Books,"Roth, Leland M.",0-06-430158-3,,1993,Icon Editions,,ARCHITECTURE,"New York, NY",History; Architecture,,1st ed,1993,,,542,
VTKK9TMN,Dictionary of the decorative arts,Books,"Fleming, John; Honour, Hugh",0-06-430164-8,,1986,Harper & Row,,DECORATIVE ARTS,New York,Dictionaries; Decorative arts,Econ editions,1st Icon ed,1986,,,896,
B4TM2P9F,The New York School: the painters and sculptors of the fifties,Books,"Sandler, Irving",0-06-438505-1,,1978,Harper & Row,,MODERN,New York,"20th century; Art, American; New York (State); New York school of art",Icon editions,1st ed,1978,,,366,
CV9GFU8I,Art of the postmodern era: from the late 1960s to the early 1990s,Books,"Sandler, Irving",0-06-438509-4,,1996,IconEditions,,MODERN,New York,"20th century; United States; Themes, motives; Europe; Art, American; Art, European; Postmodernism",,1st ed,1996,,,636,
CBQD8Y27,"American light: the luminist movement, 1850-1875: paintings, drawings, photographs",Books,0,0-06-438940-5,,1980,National Gallery of Art,,AMERICAN,"Washington, D.C","19th century; Exhibitions; Photography, Artistic; Landscapes in art; Art, American; Hudson River school of landscape painting; Luminism (Art)",,,1980,,,330,
2BHN2G6C,Michelangelo,Books,"Raboff, Ernest",0-06-446074-6,,1988,Harper & Row,,ARTIST - M,,0,,,1988,,,,
L84GYP56,From slavery to freedom: a history of African Americans,Books,"Franklin, John Hope; Moss, Alfred A.",0-07-021907-9,,1994,McGraw-Hill,,GENERAL HISTORY,New York,History; United States; African Americans; Slavery,,7th ed,1994,,,680,
VBIVXZMX,Roman Art: Romulus to Constantine,Books,"Ramage, Nancy H. and Andrew Ramage",0-13-027883-1,,2001,"Prentice-Hall, Inc",,ANCIENT,,0,,,2001,,,,
2AQPB47P,"Architecture, from prehistory to post-modernism: the western tradition",Books,"Trachtenberg, Marvin; Hyman, Isabelle",0-13-044702-1,,1986,Prentice-Hall ; H.N. Abrams,,Architecture,"Englewood Cliffs, N.J. : New York",History; Architecture,,,1986,,,606,
WALS36S2,"The arts of the Italian Renaissance: painting, sculpture, architecture",Books,"Paatz, Walter",0-13-047316-2,,1974,Prentice-Hall,,RENAISSANCE,"Englewood Cliffs, N.J","Art, Renaissance; Italy; Art, Italian",,,1974,,,277,
29PS9YGA,Art Past Art Present,Books,"Wilkins, David G. and Schulz",0-13-048018-5,,1990,"Harry N. Abrams, Inc",,GENERAL HISTORY,,0,,,1990,,,,
FRI32JDM,Art history,Books,"Stokstad, Marilyn; Addiss, Stephen; Collins, Bradford R.",0-13-082581-6,,1999,H.N. Abrams,,GENERAL HISTORY,New York,History; Art,,Rev. ed,1999,,,2,
V8CWFIDD,The Visual Arts: A History,Books,"Honour, Hugh and Fleming",0-13-095790-9,,2000,"Prentice-Hall, Inc",,GENERAL HISTORY,,0,,,2000,,,,
YVJJ8KIV,"History of Italian Renaissance art: painting, sculpture, architecture",Books,"Hartt, Frederick; Wilkins, David G.",0-13-188247-3,,2006,Prentice Hall,,RENAISSANCE,"Upper Saddle River, N.J","Art, Renaissance; Italy; Art, Italian",,6th ed,2006,,,736,
QRJLTQN2,"Form, space, and vision: understanding art; a discourse on drawing",Books,"Collier, Graham",0-13-329458-7,,1972,Prentice-Hall,,GENERAL APPRECIATION/CRITICISM,"Englewood Cliffs, N.J","Drawing; Technique; Creation (Literary, artistic, etc.)",,3d ed,1972,,,304,
C589FPML,From Abacus to Zeus: a handbook of art history,Books,"Pierce, James Smith; Janson, H. W.",0-13-331686-6,,1977,Prentice-Hall,,General Reference,"Englewood Cliffs, N.J",Art; Dictionaries,,,1977,,,131,
X27NDUIU,"History of Italian Renaissance art: painting, sculpture, architecture",Books,"Hartt, Frederick; Wilkins, David G.",0-13-393380-6,,1994,Prentice Hall ; H.N. Abrams,,RENAISSANCE,"Englewood Cliff, N.J. : New York","Art, Renaissance; Italy; Art, Italian",,4th ed,1994,,,696,
DLGBE6VG,The joyous vision: a source book for elementary art appreciation,Books,"Hurwitz, Al; Madeja, Stanley S.",0-13-511600-7,,1977,Prentice-Hall,,Docent/Museum Education,"Englewood Cliffs, N.J",Art appreciation; Study and teaching (Elementary); Study and teaching (Secondary),,,1977,,,302,
7SCN2PNK,Theories of contemporary art,Books,0,0-13-913666-5,,1985,Prentice-Hall,,General/Appreciation/Criticism,"Englewood Cliffs, N.J","20th century; Art, Modern; Art; Philosophy",,,1985,,,314,
KFH2AV5H,On understanding art museums,Books,0,0-13-936278-9,,1975,Prentice-Hall,,Docent/Museum Education,"Englewood Cliffs, N.J",Art museums,A Spectrum book,,1975,,,212,
LZCWSYP7,Varieties of visual experience,Books,"Feldman, Edmund Burke",0-13-940602-6,,1987,Prentice-Hall ; H.N. Abrams,,GENERAL APPRECIATION/CRITICISM,"Englewood Cliffs, N.J. : New York",Visual perception; Art; Psychology; Composition (Art),,3rd ed,1987,,,528,
XZ6HWBCS,Off the wall: Robert Rauschenberg and the art world of our time,Books,"Tomkins, Calvin",0-14-005812-5,,1981,Penguin Books,,Artist,New York,"20th century; Biography; United States; Artists; Art, American; Rauschenberg, Robert",,,1981,,,324,
APJQSUUU,Before the Mayflower: a history of Black America,Books,"Bennett, Lerone",0-14-017822-8,,1993,Penguin Books,,GENERAL HISTORY,New York,History; African Americans,,6th ed,1993,,,713,
3NASZKT2,High Renaissance,Books,"Levey, Michael",0-14-021823-8,,1975,Penguin,,RENAISSANCE,Harmondsworth ; Baltimore [etc.],"History; Art, High Renaissance",Pelican books,,1975,,,320,
3K3YDTN7,The Guerrilla Girls' bedside companion to the history of Western art,Books,0,0-14-025997-X,,1998,Penguin Books,,ARTIST - G,New York,History; Art; Feminism and art; Women artists,,,1998,,,95,
3G999FJR,The Penguin dictionary of architecture,Books,"Fleming, John; Honour, Hugh; Pevsner, Nikolaus",0-14-051013-3,,1980,Penguin,,Architecture,"Harmondsworth, Middlesex, England ; New York, N.Y., U.S.A",Architecture; Dictionaries,Penguin reference books,3rd ed,1980,,,356,
NBZNBDSA,The Penguin dictionary of archaeology,Books,"Bray, Warwick; Trump, David H.",0-14-051045-1,,1972,Penguin,,General Reference,Harmondsworth,Dictionaries; Archaeology,"Penguin reference books, R45",,1972,,,269,
42R3RNUU,The Penguin dictionary of art and artists,Books,"Murray, Peter; Murray, Linda",0-14-051300-0,,1997,Penguin Books,,General Reference,"London, England ; New York",Art; Artists; Dictionaries; Biography Dictionaries,Penguin reference books,7th ed,1997,,,579,
6JAVK3S9,The Penguin dictionary of saints,Books,"Attwater, Donald; John, Catherine Rachel",0-14-051312-4,,1995,Penguin Books,,Religion/Myth,London ; New York,Biography Dictionaries; Christian saints,Penguin reference books,3rd ed,1995,,,381,
8XSRJPGM,"Painting and sculpture in Europe, 1880-1940",Books,"Hamilton, George Heard",0-14-056129-3,,1972,Penguin Books,,MODERN,"Baltimore, Md.]","19th century; 20th century; Art, European",The Pelican history of art,[Rev. and corr,1972,,,624,
MX2ZJECE,Roman art,Books,"Strong, Donald Emrys; Ling, Roger; Toynbee, J. M. C.",0-14-056139-0,,1988,Penguin Books,,ANCIENT,"Harmondsworth, Middlesex, England ; New York, N.Y., U.S.A","Art, Roman",The Pelican history of art,2nd ed,1988,,,408,
