SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
CJ6HG48P,African Reflections: Art from Northeastern Zaire,Books,"Childkrout, Enid and Curtis A. Keim",29596961,1990,American Museum of Natural History,,AFRICAN,,,,,1990,,,,
G3DM33GD,Henri Matisse,Books,"Aragon, Louis",151399956,1972,"William Collins Sons & Co., Ltd and Harcourt Brace Jovanovich, Inc",,ARTIST - M,,,,,1972,,,,
RUSGT8BW,John Constable: The Man and His Work,Books,"Peacock, Carlos",212972006,1965,New York Graphic Society,,Artist-C,,,,,1965,,,,
ENERIERW,Terminal Iron Works: The Sculpture of David Smith,Books,"Krauss, Rosalind E.",262110369,1979,MIT Press,,ARTIST - S,,,,,1979,,,,
5YTHNGHB,"Archaism, Modernism, and the Art of Paul Manship",Books,Susan Rather,292785968,1993,"University of Texas Press, Austin",,Artist M,,,,,1993,,,,
EMNJ43XW,Donald Judd: The Multicolored Works,Books,"Judd, Donald et al",300197659,2013,Pulitzer Foundation for the Arts,,ARTIST - J,,,,,2013,,,,
PBUTNZ99,"The world of Cézanne, 1839-1906",Books,"Murphy, Richard W.; Time-Life Books",316508209,1968,Time-Life Books,,aRTIST-C,New York,"Cézanne, Paul",Time-Life library of art,,1968,,,192,
L494UZ85,Krippen Nativity Scenes Creches,Books,"Gockerell, Nina",382287177,1998,Taschen,,DECORATIVE ARTS,,,,,1998,,,,
Z74K9HHI,Mark Rothko,Books,"Wick, Oliver et al",390563211,2001,Fondation Beyeler,,ARTIST - R OVERSIZE,,,,,2001,,,,
5LK5UUX4,The Greek Way,Books,"Hamilton, Edith",393002306,1964,W. W. Norton & Co,,ANCIENT,,,,,1964,,,,
5HB2VFWS,James Ensor,Books,"Tannenbaum, Libby",405015151,1951,Museum of Modern Art,,ARTIST - E,,,,,1951,,,,
J3WHW89G,Marc Chagall,Books,"Sweeney, James Johnson",405015526,1946,Museum of Modern Art,,artist-C,,,,,1946,,,,
